model,technique,size_MB,params_M,latency_ms,accuracy,note
resnet50,baseline,95.17,23.71,164.67,55.59,CIFAR-100 head-tuned (3 epochs)
resnet50,prune-struct-0.1,61.1,15.21,128.68,1.36,CIFAR-100 structured L1
resnet50,prune-struct-0.1,61.1,15.21,129.46,6.43,CIFAR-100 structured L1 + BN recalibration
resnet50,prune-struct-0.3,27.71,6.89,71.93,1.21,CIFAR-100 structured L1 + BN recalibration
resnet50,prune-struct-0.1+ft1,61.1,15.21,130.5,60.15,CIFAR-100 structured L1
resnet50,prune-struct-0.3+ft1,27.71,6.89,72.78,13.8,CIFAR-100 structured L1
resnet50,prune-struct-0.15+ft1,49.69,12.37,114.84,44.42,CIFAR-100 structured L1
resnet50,prune-struct-0.125+ft1,54.88,13.66,109.93,53.35,CIFAR-100 structured L1
resnet50,nofuse_fp16_recoveryFT0e_compile,47.86,23.71,57.13,55.59,"AdamW_lr=0.0001, batch=256, clip=1.0"
resnet50,nofuse_fp16_recoveryFT1e_compile,47.86,23.71,57.02,79.32,"AdamW_lr=0.0001, batch=256, clip=1.0"
resnet18,distill_T4.0_α0.5,44.99,11.23,50.25,63.09,"KDist, epochs=10, lr=0.0005"
resnet18,distill_T4.0_α0.5,44.99,11.23,50.28,54.41,"KDist, epochs=5, lr=0.0005"
mobilenet_v2,distill_T4.0_α0.4,9.65,2.35,75.37,44.5,"KDist, epochs=5, lr=0.0005"
mobilenet_v2,distill_T4.0_α0.4,9.65,2.35,75.41,55.87,"KDist, epochs=10, lr=0.0005"
resnet50,lowrank0.50+ft1,75.07,18.68,100.38,78.03,AdamW 0.0001
resnet50,lowrank0.50,75.07,18.68,99.56,2.47,AdamW 0.0001
resnet18,KD5e→prune0.125→LR0.5→FP16+ft1,7.65,3.78,21.91,35.36,
resnet18,KD10e→prune0.125→LR0.5→FP16+ft1,7.65,3.78,21.95,42.47,
resnet18,KD10e→prune0.1→LR0.6→FP16+ft1,10.23,5.06,24.74,42.74,
resnet18,KD10e→prune0.1→LR0.6→FP16+ft2,10.23,5.06,24.79,49.94,
resnet18,KD15e→prune0.1→LR0.6→FP16+ft2,10.23,5.06,24.74,53.87,
